document,field,gold_state,gold_derivation,value_cited,value_page,value_span,value_bbox,value_support,value_localized,evidence_available,evidence_read,evidence_state,evidence_value,evidence_support,verify_available,verify_support,verify_note,pipeline_joint
sds_18.pdf,substance_or_mixture,PRESENT,COMPOSITION_IMPLIED,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,composition establishes MIXTURE,no
sds_18.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_18.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_18.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_18.pdf,flash_point,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_19.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_19.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_19.pdf,flash_point,NO_DATA,EXPLICIT,False,n/a,n/a,n/a,n/a,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_20.pdf,product_name,PRESENT,EXPLICIT,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_20.pdf,supplier_name,PRESENT,EXPLICIT,True,violated,violated,violated,violated,False,True,True,satisfied,violated,satisfied,True,violated,value does not occur in the cited span,no
sds_20.pdf,substance_or_mixture,PRESENT,COMPOSITION_IMPLIED,True,violated,violated,violated,satisfied,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_20.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,violated,violated,violated,satisfied,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_20.pdf,chemical_formula,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,violated,violated,satisfied,True,undecidable,cited span carries no state cue,no
sds_20.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,violated,violated,violated,satisfied,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_20.pdf,flash_point,PRESENT,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
